"Site_ID","Latitude","Longtiude","Allium.spp..L.","Eruca.vesicaria..L...Cav.","Asparagus.officinalis.L.","Aster.spp.","Cyanus.segetum.Hill.bachelors.button","Platycodon.grandiflorus..Jacq...A.DC.","Ocimum.basilicum.L.","Phaseolus.vulgaris.L.","Lotus.corniculatus.L.","Rubus.armeniacus.Focke","Vaccinium.spp..L.","Brassica.rapa.L..bok.choy","Borago.officinalis.L.","Brassica.oleracea.var..italica.Plenck","Fagopyrum.esculentum.Moench","Phaseolus.coccineus.L..bush.bean","Ranunculus.acris.L.","Brassica.oleracea.L..cabbage","Calendula.officinalis.L.","Eschscholzia.californica.Cham.","Campanula.spp..L.","Cirsium.arvense..L...Scop.","Daucus.carota.subsp..sativus..Hoffm...Arcang.","Nepeta.spp..L.","Matricaria.chamomilla.L.","Stellaria.media..L...Vill.","Cichorium.intybus.L.","Cynoglossum.amabile.Stapf...J.R.Drumm.","Allium.schoenoprasum.L.","Mentha x piperita L. chocolate mint","Coriandrum.sativum.L.","Trifolium.spp..L.","Brassica.oleracea.L..collard.greens","Aquilegia.spp..L.","Symphytum.officinale.L.","Origanum.vulgare.L.","Sonchus.oleraceus..L...L.","Echinacea.spp..Moench","Cyanus.segetum.Hill.cornflower","Cosmos.bipinnatus.Cav.","Ranunculus.repens.L.","Cucurbita.pepo.L..crookneck.squash","Cucumis.sativus.L.","Salvia.officinalis.L.","Thymus.vulgaris.L.","Sinapis.alba.L.","Dahlia.pinnata.Cav.","Taraxacum.officinale.F.H..Wigg.","Hemerocallis.spp..L.","Anethum.graveolens.L.","Glebionis.coronaria..L...Cass..ex.Spach","Solanum.melongena.L.","Sambucus.nigra.L.","Vicia.faba.L.","Convolvulus.arvensis.L.","Sinapis.spp..L.","Hypochaeris.radicata.L.","Digitalis.purpurea.L.","Galinsoga.quadriradiata.Ruiz...Pav.","Gaillardia.spp..Foug.","Allium.sativum.L.","Pelargonium spp. L'Her","Prunella.vulgaris.L.","Lamium.amplexicaule.L.","Geranium.robertianum.L.","Alcea.rosea.L.","Impatiens.spp..L.","Iris x germanica L.","Brassica.oleracea.L..kale","Chenopodium.album.L.","Lavandula.spp.","Melissa.officinalis.L.","Lactuca.sativa.L.","Lobelia.spp.","Lupinus.spp..L.","Tagetes.erecta.L.","Origanum.majorana.L.","Mentha.spp..L.","Brassica.rapa.var..nipposinica..Bailey..Hanelt","Plantago.lanceolata.L.","Tropaeolum.majus.L.","Symphyotrichum.novae.angliae..L...G.L.Nesom","Rosa.nutkana.C.Presl","Aster.sp..orange","Petroselinum.crispum..Mill...Fuss","Cucurbita.pepo.L..patty.pan","Pisum.sativum.L.","Capsicum.annuum.L.","Phacelia.tanacetifolia.Benth.","Amaranthus.spp.","Matricaria.discoidea.DC.","Phaseolus.coccineus.L..pole.bean","Papaver.somniferum.L.","Solanum.tuberosum.L.","Lactuca.serriola.L.","Cucurbita.pepo.L..pumpkin","Echinacea.purpurea..L...Moench","Daucus.carota.L.","Cichorium.intybus.L..radicchio","Raphanus.raphanistrum.subsp..sativus..L...Domin","Nigella.damascena.L.","Rubus.idaeus.L.","Trifolium.pratense.L.","Rosa.spp..L.","Rosmarinus.officinalis.L.","Phaseolus.coccineus.L..scarlet.runner.bean","Capsella.bursa.pastoris..L...Medik.","Persicaria.maculosa.Gray","Antirrhinum.majus.L.","Mentha.spicata.L.","Cucurbita.spp.","Fragaria x ananassa (Duchesne ex Weston) Duchesne ex Rozier","Crassulaceae","Cucurbita.pepo.L..group","Helianthus.annuus.L.","Lobularia.maritima..L...Desv.","Ocimum.basilicum.L..thai.basil","Cirsium.spp..Mill.","Agastache.rupestris..Greene..Standl.","Coreopsis.spp..L.","Lilium.lancifolium.Thunb.","Physalis.philadelphica.Lam.","Solanum.lycopersicum.L.","Vicia.villosa.Roth","Citrullus.lanatus..Thunb...Matsum....Nakai","Trifolium.repens.L.","Leucanthemum.vulgare..Vaill...Lam.","Cucurbita.maxima.Duchesne.group","Achillea.millefolium.L.","Zinnia.elegans.L.","Cucurbita.pepo.L..zucchini"
"site_11",47.642,-122.379,6,5,0,0,0,1,11,0,0,0,1,0,9,0,42,0,0,0,16,2,0,0,0,0,0,0,0,0,26,0,4,3,0,5,0,1,0,0,0,37,0,0,0,3,1,0,33,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,13,0,4,0,0,43,0,0,0,8,41,0,0,0,0,65,0,30,0,0,0,11,0,0,3,0,3,2,27,0,0,0,0,0,29,4,24,0,2,1,0,0,1,2,2,0,51,0,0,62,5,0,1,0,0,67,0,52,0,0,0,8,39,0,4,23
"site_12",47.056,-122.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,5,0,0,0,0,9,0,53,0,0,0,0,0,9,0,0,0,0,0,0,13,38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,11,0,65,0,55,0,2,0,0,0,0,0,0,0,2,7,0,0,0,51,140,0,0,0,70,0,0,0,17,0,0,0,0,0,1,189,0,0,0,0,0,0,51,207
"site_13",47.562,-122.303,3,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,4,0,0,0,0,0,0,0,28,13,0,2,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,5,0,7,0,0,0,0,0,0,0,58,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0
"site_14",47.654,-122.393,2,9,0,0,3,0,1,0,0,0,1,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,4,0,0,0,0,3,0,0,0,1,0,0,1,0,1,0,0,1,0,32,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,2,0,0,0,5,13,0,0,1,0,8,0,0,0,0,0,0,1,0,0,0,16,6,4,0,0,0,0,0,9,6,15,0,0,3,0,0,0,0,0,0,26,8,0,2,0,1,0,0,0,0,1,40,0,0,0,0,0,0,1,8
"site_15",47.688,-122.254,1,5,0,0,5,0,0,0,4,0,0,0,1,0,0,0,25,0,19,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,1,0,0,0,7,0,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,7,0,0,0,0,7,3,0,8,1,0,0,7,1,3,0,5,0,24,0,0,0,0,0,8,2,4,0,0,3,1,0,3,0,0,0,0,5,0,4,0,8,0,0,0,1,0,4,0,24,0,0,1,0,0,5,0,0,0,3,8,0,0,0,8,0,1,37,8
"site_16",47.526,-122.333,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,3,2,0,0,0,0,0,14,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,30,10,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,7,0,26,0,6,0,0,0,0,0,0,0,31,9,0,0,0,28,3,0,0,0,0,0,4,0,0,0,0,0,0,0,1,8,3,0,0,0,0,0,0,2
"site_18",47.543,-122.287,16,0,0,14,0,0,0,0,0,0,0,0,0,2,0,0,37,11,0,0,0,0,0,0,9,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,5,1,2,0,26,18,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,16,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,20,0,0,0,0,0,0,3,0,1,0,0,0,5,11,5,0,0,10,0,0,0,0,12
"site_19",47.039,-122.886,0,4,0,0,0,0,0,0,0,0,0,0,16,0,0,0,28,0,0,8,0,0,0,2,0,0,0,2,3,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,2,49,0,3,0,0,0,0,0,0,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8,0,31,0,0,0,0,1,2,0,1,0,0,2,0,0,0,1,0,0,0,0,5,4,20,0,0,2,2,14,0,0,0,6,0,0,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1
"site_20",47.686,-121.972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,848,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,132,2,0,0,0,484,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"site_21",47.05,-122.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,117,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,6
"site_22",47.422,-122.468,0,1,0,0,0,0,0,0,0,6,0,0,0,8,46,0,12,0,4,0,0,0,0,0,0,7,3,0,0,0,21,0,0,0,0,0,9,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,7,78,0,41,0,32,32,3,0,0,0,5,0,0,0,0,0,0,74,78,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,11
"site_23",47.671,-121.976,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,6,52,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,4,49,0,0,0,0,0,0,20,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0
"site_24",47.522,-122.259,0,0,12,0,0,0,0,0,0,0,0,0,1,15,3,19,12,0,0,0,0,0,1,2,2,0,0,0,1,0,0,5,1,0,0,14,0,0,0,0,0,2,0,0,5,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,25,21,2,0,0,0,0,0,0,0
"site_25",46.801,-123.159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,5,0,50,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50,0,11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,26,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1112,0,31,1,0,0,0,0,0
"site_26",48.435,-122.394,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30,400,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,49,1590,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385,127,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
"site_27",47.57,-122.294,1,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,15,0,48,0,0,0,0,0,0,0,3,0,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,9,0,26,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,37,0,0,0,0,23,1,9,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0,0,4,0,8
"site_28",47.301,-122.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,283,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,2,403,39,49,0,0,2,0,0,0,0,0,0,0,1,0,0,0,99,4,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,15,0,0,0,0,3
"site_29",47.611,-121.937,0,0,0,0,0,0,0,0,2,0,0,0,0,15,60,0,5,0,0,0,0,0,0,0,0,8,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,2,0,0,0,28,0,0,4,13,0,0,2,0,0,0,18,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,45,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,14,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,23
"site_30",47.583,-121.916,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,1,3,10,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,22,4,0,0,0,0,1,0,0,0,148,5,16,3,0,0,0,0,0,0,7,0,0,0,0,2,52,0,0,7,0,0,0,0,0,0,67,0,0,0,0,3,0,102,0,0,0,0,0,0,0,35,7,0,0,0,0,0,0,0,0,0,0,4,15,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,11,7,0,0,0,0,85
"site_31",47.065,-122.984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,88,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,5,9,0,0,23,0,0,10,0,0,0,0,0,0,0,15,1,0,28,0,0,4,3,0
"site_32",47.531,-122.283,0,0,0,0,0,0,3,0,0,0,0,0,0,47,0,0,76,23,0,0,0,0,0,0,0,0,4,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,11,0,11,0,0,0,0,0,14,0,34,0,0,0,0,0,0,1,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
"site_33",48.461,-122.411,0,1,0,0,0,0,0,27,0,0,0,0,0,0,219,11,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,44,34,0,0,0,0,0,53,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,35,0,0,47,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,76,37,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16
"site_34",47.049,-122.872,0,0,0,0,0,0,1,0,0,0,0,0,5,0,19,0,0,26,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,62,0,11,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,4,0,0,0,0,0,2,17,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,3,0,0,15,59,0,0,0,0,0,0,0,90,25,0,0,0,3,1,0,0,1,0,0,0,9,0,7,0,0,0,0,0,0,0,0,0,0,6,3,1,84
"site_35",47.225,-122.367,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,73,0,3,0,0,0,0,0,1,0,0,0,0,0,0,75,10,1,0,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,37,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,6,11,0,0,0,0,0,0,80,0,0,1,0,0,0,0,222,4,0,0,0,0,0,164,0
"site_36",46.807,-123.11,0,1,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,34,7,0,0,36,18,0,0,0,0,0,0,0,0,0,0,0,21,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0
