"Site_ID","Latitude","Longtiude","Cucurbita.maxima.Duchesne.acorn.squash","Allium.spp..L.","Alstroemeria.aurea.Graham","Eruca.vesicaria..L...Cav.","Asparagus.officinalis.L.","Cyanus.segetum.Hill.bachelors.button","Ocimum.basilicum.L.","Rubus.armeniacus.Focke","Brassica.rapa.L..bok.choy","Borago.officinalis.L.","Brassica.oleracea.var..italica.Plenck","Fagopyrum.esculentum.Moench","Ranunculus.acris.L.","Cucurbita.moschata.Duchesne.butternut.squash","Brassica.oleracea.L..cabbage","Calendula.officinalis.L.","Eschscholzia.californica.Cham.","Campanula.spp..L.","Cirsium.arvense..L...Scop.","Nepeta.spp..L.","Matricaria.chamomilla.L.","Cichorium.intybus.L.","Allium.schoenoprasum.L.","Coriandrum.sativum.L.","Trifolium.spp..L.","Brassica.oleracea.L..collard.greens","Symphytum.officinale.L.","Origanum.vulgare.L.","Zea.mays.L.","Cyanus.segetum.Hill.cornflower","Cosmos.bipinnatus.Cav.","Ranunculus.repens.L.","Crocosmia.spp.","Cucurbita.pepo.L..crookneck.squash","Cucumis.sativus.L.","Salvia.officinalis.L.","Thymus.vulgaris.L.","Sinapis.alba.L.","Dahlia.pinnata.Cav.","Taraxacum.officinale.F.H..Wigg.","Anethum.graveolens.L.","Solanum.melongena.L.","Sambucus.nigra.L.","Foeniculum.vulgare.Mill.","Convolvulus.arvensis.L.","Sinapis.spp..L.","Hypochaeris.radicata.L.","Digitalis.purpurea.L.","Fuchsia.spp..L.","Gaillardia.spp..Foug.","Allium.sativum.L.","Allium.tuberosum.Rottler.ex.Spreng.","Pelargonium spp. L'Her","Solanum.sarrachoides.Sendtn.","Prunella.vulgaris.L.","Lamium.amplexicaule.L.","Alcea.rosea.L.","Brassica.oleracea.L..kale","Chenopodium.album.L.","Lavandula.spp.","Melissa.officinalis.L.","Cucumis.sativus.L..lemon.cucumber","Lactuca.sativa.L.","Lupinus.spp..L.","Tagetes.erecta.L.","Origanum.majorana.L.","Mentha.spp..L.","Brassica.rapa.var..nipposinica..Bailey..Hanelt","Plantago.lanceolata.L.","Tropaeolum.majus.L.","Symphyotrichum.novae.angliae..L...G.L.Nesom","Solanum.spp..L.","Aster.sp..orange","Cucurbita.pepo.L..patty.pan","Pisum.sativum.L.","Capsicum.annuum.L.","Phacelia.tanacetifolia.Benth.","Phlox.paniculata.L.","Amaranthus.spp.","Phaseolus.coccineus.L..pole.bean","Papaver.somniferum.L.","Solanum.tuberosum.L.","Lactuca.serriola.L.","Cucurbita.pepo.L..pumpkin","Echinacea.purpurea..L...Moench","Salvia.nemorosa.L.","Cichorium.intybus.L..radicchio","Raphanus.raphanistrum.subsp..sativus..L...Domin","Rubus.idaeus.L.","Trifolium.pratense.L.","Rosa.spp..L.","Rosmarinus.officinalis.L.","Phaseolus.coccineus.L..scarlet.runner.bean","Capsella.bursa.pastoris..L...Medik.","Persicaria.maculosa.Gray","Antirrhinum.majus.L.","Mentha.spicata.L.","Cucurbita.spp.","Fragaria x ananassa (Duchesne ex Weston) Duchesne ex Rozier","Crassulaceae","Cucurbita.pepo.L..group","Helianthus.annuus.L.","Lobularia.maritima..L...Desv.","Ocimum.basilicum.L..thai.basil","Cirsium.spp..Mill.","Lilium.lancifolium.Thunb.","Callistephus.chinensis..L...Nees","Physalis.philadelphica.Lam.","Solanum.lycopersicum.L.","Brassica.rapa.L..tatsoi","Citrullus.lanatus..Thunb...Matsum....Nakai","Trifolium.repens.L.","Leucanthemum.vulgare..Vaill...Lam.","Cucurbita.maxima.Duchesne.group","Achillea.millefolium.L.","Zinnia.elegans.L.","Cucurbita.pepo.L..zucchini"
"site_25",46.801,-123.159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,50,0,0,0,0,0,0,0,0,0,0,0,51,10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,50,0,0,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,26,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1112,0,31,1,0,0,0,0,0
"site_26",48.435,-122.394,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16,30,400,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,49,0,1590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385,127,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,16,0,0,0,0,0
"site_27",47.57,-122.294,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,3,0,15,48,0,0,0,0,0,3,0,0,0,0,3,1,1,0,0,1,0,0,0,1,0,5,0,0,0,0,0,0,0,2,6,0,0,26,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,37,0,0,0,0,23,1,9,0,0,0,0,0,0,16,1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,2,18,4,0,0,0,0,4,0,8
"site_28",47.301,-122.102,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,283,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,2,0,403,49,0,0,2,0,0,0,0,0,0,1,0,0,0,99,4,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,15,0,0,0,0,3
"site_29",47.611,-121.937,0,0,0,0,0,0,0,0,0,0,15,60,5,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,2,0,28,0,0,4,13,0,0,0,0,0,0,0,0,18,36,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,45,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,14,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,23
"site_30",47.583,-121.916,0,0,0,1,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,1,10,8,0,0,0,0,0,0,0,0,0,0,0,0,22,4,0,0,0,1,0,0,0,5,16,3,0,0,0,0,0,0,43,0,7,0,2,52,0,0,0,7,0,0,0,0,0,67,0,0,0,0,0,102,0,0,0,0,0,0,0,35,7,0,0,0,0,0,0,0,0,0,4,15,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,11,7,0,0,0,0,85
"site_31",47.065,-122.984,0,0,0,0,0,0,0,0,0,0,0,2,88,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,5,9,0,0,23,0,0,10,0,0,0,0,18,0,15,0,0,28,0,0,4,3,0
"site_32",47.531,-122.283,0,0,0,0,0,0,3,0,0,0,47,0,76,0,23,0,0,0,0,0,0,4,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,47,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,17,0,0,0,11,11,0,0,0,0,0,0,0,34,0,0,0,0,0,1,5,0,0,7,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
"site_33",48.461,-122.411,1,0,0,1,0,0,0,0,0,0,0,219,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,44,34,0,0,53,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,35,0,0,0,47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,76,37,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16
"site_34",47.049,-122.872,0,0,0,0,0,0,1,0,0,5,0,19,0,0,26,0,0,0,0,0,0,0,1,1,0,0,0,3,22,0,0,0,0,0,62,0,11,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,2,3,4,0,0,2,17,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,3,0,15,59,0,0,0,0,0,0,90,25,0,0,0,3,1,0,0,1,0,0,0,9,0,7,0,0,0,0,0,0,0,0,0,6,3,1,84
"site_35",47.225,-122.367,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,3,0,0,0,0,0,0,0,0,0,0,0,75,10,1,0,22,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,117,0,0,0,6,11,0,0,0,0,0,0,80,0,0,1,0,0,0,222,0,0,0,0,0,0,164,0
"site_36",46.807,-123.11,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,34,0,0,36,18,0,0,0,0,0,0,0,0,0,0,21,83,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0
